IonEnergy(MeV),dE/dxElec
1.00,6.116E+02
1.10,6.387E+02
1.20,6.661E+02
1.30,6.940E+02
1.40,7.224E+02
1.50,7.512E+02
1.60,7.805E+02
1.70,8.100E+02
1.80,8.397E+02
2.00,8.990E+02
2.25,9.723E+02
2.50,1.044E+03
2.75,1.114E+03
3.00,1.181E+03
3.25,1.247E+03
3.50,1.311E+03
3.75,1.373E+03
4.00,1.433E+03
4.50,1.551E+03
5.00,1.666E+03
5.50,1.778E+03
6.00,1.888E+03
6.50,1.998E+03
7.00,2.107E+03
8.00,2.325E+03
9.00,2.542E+03
10.00,2.757E+03
11.00,2.970E+03
12.00,3.178E+03
13.00,3.382E+03
14.00,3.580E+03
15.00,3.770E+03
16.00,3.954E+03
17.00,4.130E+03
18.00,4.299E+03
20.00,4.613E+03
22.50,4.965E+03
25.00,5.274E+03
27.50,5.546E+03
30.00,5.784E+03
32.50,5.993E+03
35.00,6.176E+03
37.50,6.336E+03
40.00,6.475E+03
45.00,6.703E+03
50.00,6.876E+03
55.00,7.005E+03
60.00,7.101E+03
65.00,7.171E+03
70.00,7.221E+03
80.00,7.277E+03
90.00,7.292E+03
100.00,7.283E+03
110.00,7.258E+03
120.00,7.222E+03
130.00,7.181E+03
140.00,7.136E+03
150.00,7.088E+03
160.00,7.071E+03
170.00,7.082E+03
180.00,7.063E+03
200.00,6.972E+03
225.00,6.858E+03
250.00,6.752E+03
275.00,6.652E+03
300.00,6.555E+03
325.00,6.462E+03
350.00,6.371E+03
375.00,6.283E+03
400.00,6.196E+03
450.00,6.026E+03
500.00,5.861E+03
550.00,5.700E+03
600.00,5.543E+03
650.00,5.390E+03
700.00,5.241E+03
800.00,4.958E+03
865.00,4.785E+03
