folder,image,initial_radius,delta_radius,auto_withborder,auto_noborder
K0_incid,1,5,2,21,16
K0_incid,1,5,4,19,14
K0_incid,1,5,6,21,16
K0_incid,1,5,8,18,13
K0_incid,1,5,10,21,15
K0_incid,1,5,12,19,14
K0_incid,1,5,14,18,13
K0_incid,1,5,16,18,13
K0_incid,1,5,18,18,13
K0_incid,1,5,20,18,13
K0_incid,1,10,2,20,15
K0_incid,1,10,4,18,14
K0_incid,1,10,6,19,13
K0_incid,1,10,8,18,14
K0_incid,1,10,10,18,13
K0_incid,1,10,12,18,13
K0_incid,1,10,14,18,13
K0_incid,1,10,16,18,13
K0_incid,1,10,18,18,13
K0_incid,1,10,20,18,13
K0_incid,1,15,2,20,16
K0_incid,1,15,4,20,15
K0_incid,1,15,6,18,13
K0_incid,1,15,8,18,13
K0_incid,1,15,10,20,15
K0_incid,1,15,12,18,13
K0_incid,1,15,14,18,13
K0_incid,1,15,16,18,13
K0_incid,1,15,18,18,13
K0_incid,1,15,20,19,14
K0_incid,1,20,2,17,14
K0_incid,1,20,4,17,14
K0_incid,1,20,6,16,13
K0_incid,1,20,8,17,14
K0_incid,1,20,10,16,13
K0_incid,1,20,12,16,13
K0_incid,1,20,14,16,13
K0_incid,1,20,16,17,14
K0_incid,1,20,18,16,13
K0_incid,1,20,20,16,13
K0_incid,1,25,2,17,15
K0_incid,1,25,4,15,13
K0_incid,1,25,6,15,13
K0_incid,1,25,8,15,13
K0_incid,1,25,10,17,15
K0_incid,1,25,12,15,13
K0_incid,1,25,14,15,13
K0_incid,1,25,16,15,13
K0_incid,1,25,18,15,13
K0_incid,1,25,20,15,13
K0_incid,1,30,2,16,14
K0_incid,1,30,4,15,13
K0_incid,1,30,6,16,14
K0_incid,1,30,8,15,13
K0_incid,1,30,10,15,13
K0_incid,1,30,12,15,13
K0_incid,1,30,14,15,13
K0_incid,1,30,16,15,13
K0_incid,1,30,18,15,13
K0_incid,1,30,20,15,13
K0_incid,1,35,2,12,12
K0_incid,1,35,4,12,12
K0_incid,1,35,6,12,12
K0_incid,1,35,8,12,12
K0_incid,1,35,10,12,12
K0_incid,1,35,12,12,12
K0_incid,1,35,14,12,12
K0_incid,1,35,16,12,12
K0_incid,1,35,18,12,12
K0_incid,1,35,20,12,12
K0_incid,1,40,2,0,0
K0_incid,1,40,4,0,0
K0_incid,1,40,6,0,0
K0_incid,1,40,8,0,0
K0_incid,1,40,10,0,0
K0_incid,1,40,12,0,0
K0_incid,1,40,14,0,0
K0_incid,1,40,16,0,0
K0_incid,1,40,18,0,0
K0_incid,1,40,20,0,0
K0_incid,2,5,2,30,15
K0_incid,2,5,4,27,15
K0_incid,2,5,6,27,15
K0_incid,2,5,8,24,14
K0_incid,2,5,10,25,15
K0_incid,2,5,12,24,14
K0_incid,2,5,14,23,14
K0_incid,2,5,16,22,13
K0_incid,2,5,18,23,14
K0_incid,2,5,20,23,14
K0_incid,2,10,2,32,18
K0_incid,2,10,4,28,17
K0_incid,2,10,6,27,17
K0_incid,2,10,8,23,15
K0_incid,2,10,10,22,14
K0_incid,2,10,12,25,17
K0_incid,2,10,14,22,14
K0_incid,2,10,16,22,14
K0_incid,2,10,18,22,14
K0_incid,2,10,20,22,14
K0_incid,2,15,2,24,15
K0_incid,2,15,4,23,15
K0_incid,2,15,6,21,14
K0_incid,2,15,8,23,15
K0_incid,2,15,10,21,15
K0_incid,2,15,12,21,14
K0_incid,2,15,14,21,14
K0_incid,2,15,16,21,14
K0_incid,2,15,18,21,14
