,folder,image,object,minor_axis,major_axis,mean_gray
0,K0_incid,1,1,71.6329243182,73.59851665332118,82.4995159729
1,K0_incid,1,2,70.70275190515598,73.23707194381346,81.3431106729
2,K0_incid,1,3,71.73096785689495,72.94531320401099,82.14066682890001
3,K0_incid,1,6,71.33744983196999,72.5308121892847,78.4868323899
4,K0_incid,1,7,71.13513023939431,72.96817971385427,80.9622178606
5,K0_incid,1,9,71.37602038845642,72.7891666998758,79.7799019608
6,K0_incid,1,10,71.9092135165568,73.01664007043497,79.7429056512
7,K0_incid,1,11,70.53565770229959,72.18309123161616,77.63606803399999
8,K0_incid,1,12,71.91453115320535,72.90709902194635,78.73803159170001
9,K0_incid,1,13,71.9963809203031,73.59762746904251,77.627493391
10,K0_incid,1,15,70.86368803826814,73.09842482352445,77.4397738446
11,K0_incid,2,4,72.01048916771629,72.83663016440742,76.81160475840001
12,K0_incid,2,6,70.04806684089661,71.55408985625962,75.30038119439999
13,K0_incid,2,8,71.38954726870999,73.16505827776867,77.4298951475
14,K0_incid,2,9,70.81716348028995,72.20032475286635,75.7344956413
15,K0_incid,2,10,72.32549268162799,73.0642261381433,77.9990361446
16,K0_incid,2,11,71.73488183070738,72.56806072552416,77.5070939335
17,K0_incid,2,12,72.83434200302956,73.39861336686883,77.4873749404
18,K0_incid,2,13,71.42689017928934,72.77655958476191,77.627633513
19,K0_incid,2,14,72.49774542559966,72.9305881107082,77.6522157996
20,K0_incid,2,15,70.87856171147965,73.12514727307828,78.4837837838
21,K0_incid,3,2,71.1115671400978,73.11699731318406,77.2282635317
22,K0_incid,3,3,71.27851012185413,73.72174084532989,77.15804806989999
23,K0_incid,3,4,70.24985552504997,73.55770729944116,75.3940364712
24,K0_incid,3,5,71.8330990198252,72.27317378199336,78.8950208487
25,K0_incid,3,10,71.90698691727906,73.28437275740269,80.5505074915
26,K0_incid,3,11,71.33863481085591,72.98666203414798,80.12573385520001
27,K0_incid,3,13,72.63252440017301,73.21534829518805,81.8965517241
29,K0_incid,4,1,73.03026285389319,73.75546076471541,76.81985815600001
30,K0_incid,4,2,71.79260874805962,72.33323177848743,78.065228053
31,K0_incid,4,3,71.91537512669845,72.7808359210331,77.695620438
32,K0_incid,4,4,70.94603182783723,72.32989699823028,76.829528536
33,K0_incid,4,5,71.92525981089268,72.3768965542649,76.803816047
34,K0_incid,4,6,71.50213068452345,71.64289861329239,76.0658876181
35,K0_incid,4,7,71.14481381456089,72.81242865341764,75.1826450344
36,K0_incid,4,10,70.92120222849076,73.233340683603,75.4361363079
37,K0_incid,4,12,70.65989733712425,72.68587796798256,75.56285643439999
38,K0_incid,4,13,72.62755609865414,72.96169475885715,75.24537370819999
39,K0_incid,5,1,70.6666348066686,71.75205362375344,77.5359116022
40,K0_incid,5,7,71.35080751298027,72.58510384769825,76.784607819
41,K0_incid,5,8,70.75316272157475,72.60688332955776,76.1179970253
42,K0_incid,5,9,70.6608406760643,72.16535164724364,76.16766616689999
43,K0_incid,5,10,72.31237370647554,72.85537126642762,75.8547256466
44,K0_incid,5,11,71.69337597016283,73.34120851569676,76.3126665052
45,K0_incid,5,12,72.11542131658935,72.27216592049012,76.1724896164
46,K0_incid,5,13,72.69820352736433,73.14875456053505,76.5985628743
47,K0_incid,5,14,70.9271345651723,72.09143790826208,75.68742216689999
48,K0_incid,6,1,72.17964724166008,72.90116119161901,71.2463697967
49,K0_incid,6,2,73.10881942977606,74.29633439798796,71.7202813599
50,K0_incid,6,3,72.2908826455547,72.63284572009547,70.9529468833
51,K0_incid,6,4,72.09633807957721,72.94423019431872,71.05982077979999
52,K0_incid,6,5,71.85720917095368,73.08493633396384,70.7048981571
53,K0_incid,6,6,72.35762176948589,73.24453091204292,71.8555635665
54,K0_incid,6,8,71.5484138350482,73.06137893568416,73.4280146163
55,K0_incid,6,10,72.856296207126,74.38900215478107,77.4257518797
56,K0_incid,6,11,71.0508040806598,72.8956949630432,71.382454411
57,K0_incid,6,12,70.07221541482187,72.51782674833849,70.5106542993
58,K0_incid,6,13,70.74431398908871,72.84367091803487,72.38334157189999
59,K0_incid,7,1,69.63833324241926,72.6262845801765,76.1394763343
60,K0_incid,7,2,71.57961472215246,72.61679522165669,75.0529152376
61,K0_incid,7,3,71.38463924647603,72.5038339804062,77.01747047239999
62,K0_incid,7,4,71.813607641053,73.29496050730077,75.135010888
63,K0_incid,7,5,71.95270689459433,72.22340773771538,74.67164910560001
64,K0_incid,7,6,70.95814548370906,72.03741740222705,75.30533399800001
65,K0_incid,7,12,71.72947887605442,72.52764045193129,73.4408812729
66,K0_incid,7,13,72.2954927961811,73.16062900291006,74.7900313027
67,K0_incid,7,16,71.98116358633148,73.39451174474776,75.85631629699999
69,K0_incid,8,1,71.70694358671476,73.53357806068945,77.3001690413
70,K0_incid,8,2,69.78615969953228,72.72495999052583,79.3162285137
71,K0_incid,8,3,71.89922833846272,73.14855062111356,76.45932203390001
72,K0_incid,8,5,72.42996846654253,72.90682674541006,78.481794068
73,K0_incid,8,6,71.07741792858107,72.96718084608324,76.7446599558
74,K0_incid,8,9,70.9900346973537,71.92707227533798,77.74937655859999
75,K0_incid,8,10,70.82162348854955,72.24653109923825,77.731209557
76,K0_incid,8,11,71.38057795738176,72.2542983173155,77.304691358
77,K0_incid,8,12,70.996060494066,72.46918327405258,77.6393564356
