folder,image,object,minor_axis,major_axis,mean_gray
K0_incid,1,1,61.04080077067059,62.62968763920513,58.7944703531
K0_incid,1,2,61.69902955930078,62.20014674373028,59.3269166943
K0_incid,1,5,60.21532534058724,63.06354478817323,55.8886271871
K0_incid,1,8,60.81807517910632,61.937026712729555,57.4259634888
K0_incid,1,13,61.31824790283241,63.893513734046806,57.2635860722
K0_incid,1,14,60.92682359154183,63.334613515061584,56.7446316485
K0_incid,1,15,63.22346466473582,63.587665651017524,57.8335974643
K0_incid,1,16,62.80948791808963,63.269590581564806,57.3634615385
K0_incid,1,17,62.599308749820494,62.99500676367677,58.0900871811
K0_incid,1,18,61.86978462350167,62.59428543289572,57.8993421053
K0_incid,1,19,62.7360713682553,63.65123918030721,56.6859056122
K0_incid,1,20,62.00019536097245,63.20666515221787,59.5576860578
K0_incid,2,1,61.30520091626797,63.267009410706024,56.4770190414
K0_incid,2,2,62.37539430730512,63.694301583212564,57.5689102564
K0_incid,2,3,60.62720228063591,63.537823680945806,57.6512396694
K0_incid,2,4,62.66842856930991,63.35139394125981,58.5102629891
K0_incid,2,5,61.19198302473317,62.86484453317723,57.1211519364
K0_incid,2,6,61.889344686624526,62.68849571137511,57.6685264194
K0_incid,2,7,62.64810949530921,63.92271189031196,58.9432035737
K0_incid,2,8,62.69002812193771,62.87461087829234,58.0297349709
K0_incid,2,9,62.76909042862068,63.56433668558574,60.5156449553
K0_incid,2,11,62.131496916714724,63.48142424342249,59.2437843074
K0_incid,3,1,61.39447464408805,62.55688393558936,56.3915063039
K0_incid,3,2,62.26946587900384,63.81377658801208,59.4906991661
K0_incid,3,3,61.28498592277334,62.03243696630993,58.7053302045
K0_incid,3,4,62.29246568837588,63.45828839147204,58.8971631206
K0_incid,3,9,63.040529845568464,63.927787653100374,59.060443038
K0_incid,3,10,63.828893655968905,63.89769299960038,59.2033739456
K0_incid,3,11,62.51310802469239,63.56998091068376,58.5431781701
K0_incid,3,12,62.56493822989649,62.70927699377457,59.7405001624
K0_incid,3,13,62.70793337815486,63.761301206175894,60.1414913958
K0_incid,3,14,62.23593592633188,63.83684492893126,59.9268762027
K0_incid,3,16,62.048164942655745,62.68445682087098,60.4606815203
