image,object,minor_axis,major_axis,mean_gray
1,11,55.65423879552813,58.15606757462082,0.413234342497
1,30,53.97823252970397,54.874117350112996,0.200772118085
2,9,55.19416780997091,56.57627158139503,0.193641143044
2,19,46.78279145362522,48.97063668127184,0.342622372778
2,48,54.92332964040927,55.31464428430919,0.206775988692
2,55,53.52915774216445,54.11697487271132,0.210531332385
2,66,51.88697655200867,54.235250912180476,0.217970201934
3,10,59.41302277823489,61.25442485623247,0.201391098396
3,18,58.59559174777838,60.37106263251555,0.200834955905
3,48,57.95410035405388,60.600656898881326,0.196536297544
4,13,52.65808652952432,53.09943033219803,0.211115653952
4,21,52.66188966204393,52.92697020694756,0.21648986537
4,24,45.344826122240356,47.32968024296755,0.383495972252
4,61,46.193142230220744,48.18323968566993,0.309969976219
4,78,42.1072147231535,43.42872079471141,0.444798612431
5,38,54.28262663936983,56.67020745665596,0.192562806941
6,5,55.32599980274582,57.4009276075131,0.190149662248
6,9,47.09552202946742,48.7351599892666,0.331051726622
6,17,55.163696703898005,56.80831579117045,0.202694810654
6,27,53.59485196248007,54.23712978626182,0.19032986868
6,36,39.79160335274297,41.41529277981352,0.482109546245
6,44,52.20716658666251,53.050789383676445,0.200223933649
7,17,55.41914625993315,57.68627071522781,0.196596765605
8,15,50.74568497841427,52.188674952997616,0.220752942119
8,60,50.49656674806148,51.96236717021946,0.263135644884
8,69,46.64071768111404,47.67631981438362,0.391577195875
9,10,64.1887502174447,66.2069941653033,0.369826194363
9,19,48.59036597648395,50.050811146372084,0.476633097998
9,26,68.49295992803832,71.65692959553988,0.368403211253
10,19,77.41011637874661,78.36539159421568,0.255012141716
10,30,31.674290582538795,32.71418018414822,0.538379097495
11,6,84.55626111164243,87.04657316346129,0.165553133795
11,27,81.07560765622847,82.74650314633092,0.189121927428
11,35,64.21630182060169,64.55122439410424,0.424093570676
12,29,31.45134113688121,32.85037723885782,0.327145264925
13,6,71.73140397411115,75.11288818852964,0.387490549058
13,20,58.174739150905424,59.667997794135665,0.4640892636
13,33,65.24861279020189,66.95903135563593,0.198519179225
14,12,0.0,0.0,0.540203529412
15,6,70.1601500689835,72.65793955322,0.369035059793
15,16,70.72592187331622,73.95089686367821,0.352485964852
15,20,76.87063740628263,78.25372480055667,0.20313509833
15,22,72.81846807194441,75.47707428683883,0.351558981139
16,14,72.42004309781342,73.36287535153693,0.349917186266
16,18,77.46851641876744,79.20678419569538,0.192084443466
16,20,74.97037178921872,76.11303572785731,0.337876042422
17,6,76.4481671934535,77.65679774817814,0.269493891707
17,23,74.52985287616023,78.10859642129054,0.252603075399
18,7,58.920956250485105,60.80115764055785,0.498463406093
18,14,77.69044929464553,81.35723218067126,0.235518322132
19,40,25.16422957725812,26.044192310180833,0.530137223621
19,51,52.12830154783917,54.421446206668755,0.207514599611
