grain,sample,image,manual,isodata,li,mlss,otsu,yen
1,mica,1,54,41,43,115,41,44
1,mica,2,53,39,34,126,39,44
1,mica,3,70,49,50,109,49,56
1,mica,4,55,36,37,117,36,48
1,mica,5,78,54,49,156,51,62
1,mica,6,50,43,44,107,43,48
1,mica,7,53,40,39,108,40,52
1,mica,8,57,45,47,151,45,49
1,mica,9,48,38,36,94,38,41
1,mica,10,51,36,31,199,36,43
1,mica,11,63,47,46,98,47,48
1,mica,12,46,40,39,99,40,44
1,mica,13,51,42,38,65,42,44
1,mica,14,69,50,51,145,49,57
1,mica,15,58,38,40,122,38,47
1,mica,16,60,53,50,113,53,53
1,mica,17,58,44,40,142,43,50
1,apatite,1,113,81,75,115,81,89
1,apatite,2,111,68,67,126,66,72
1,apatite,3,104,64,62,109,64,77
1,apatite,4,90,58,49,117,58,58
1,apatite,5,79,62,57,156,59,65
1,apatite,6,107,70,69,107,70,78
1,apatite,7,98,72,70,108,72,84
1,apatite,8,104,83,81,151,83,82
1,apatite,9,111,77,77,94,77,80
1,apatite,10,96,78,76,199,78,82
2,mica,1,73,58,60,101,58,60
2,mica,2,66,43,39,108,44,49
2,mica,3,63,41,39,94,41,52
2,mica,4,50,35,32,93,35,46
2,mica,5,55,38,38,97,38,46
2,mica,6,60,43,44,100,44,47
2,mica,7,56,39,38,90,40,48
2,mica,8,40,33,31,100,33,38
2,mica,9,60,47,46,104,46,47
2,mica,10,69,57,57,111,57,55
2,mica,11,52,41,41,101,41,44
2,mica,12,59,37,39,81,40,46
2,mica,13,74,46,42,100,46,47
2,mica,14,51,41,39,78,41,45
2,mica,15,48,38,38,138,38,43
2,mica,16,61,51,46,139,51,48
2,apatite,1,80,76,75,98,76,79
2,apatite,2,125,88,85,99,88,99
2,apatite,3,104,71,70,65,71,84
2,apatite,4,110,74,70,145,74,80
2,apatite,5,84,61,59,122,61,66
2,apatite,6,112,79,77,113,79,80
2,apatite,7,92,59,59,142,64,70
2,apatite,8,106,73,24,101,70,77
2,apatite,9,103,85,78,108,82,75
2,apatite,10,122,89,84,94,89,102
3,mica,1,56,41,40,130,42,48
3,mica,2,47,40,42,127,40,43
3,mica,3,72,51,50,109,50,58
3,mica,4,60,52,45,131,52,52
3,mica,5,54,47,46,126,47,52
3,mica,6,54,38,38,90,38,42
3,mica,7,57,41,39,103,41,54
3,mica,8,59,46,44,110,46,55
3,mica,9,68,61,62,139,61,65
3,mica,10,64,52,46,100,52,62
3,mica,11,48,32,32,117,32,38
3,mica,12,45,34,36,130,34,40
3,mica,13,50,36,37,112,36,42
3,mica,14,66,52,51,124,52,56
3,mica,15,63,44,41,109,44,60
3,mica,16,64,46,47,125,43,49
3,apatite,1,106,87,82,93,89,92
3,apatite,2,92,77,75,97,77,78
3,apatite,3,97,81,77,100,81,82
3,apatite,4,102,69,68,90,72,79
3,apatite,5,117,80,81,100,80,90
3,apatite,6,98,75,70,104,74,90
3,apatite,7,101,81,77,111,81,88
3,apatite,8,117,84,82,101,84,95
3,apatite,9,105,87,83,81,86,108
3,apatite,10,128,93,91,100,93,103
