image,tracks
dur_grain1mica01,54
dur_grain1mica02,53
dur_grain1mica03,70
dur_grain1mica04,55
dur_grain1mica05,78
dur_grain1mica06,50
dur_grain1mica07,53
dur_grain1mica08,57
dur_grain1mica09,48
dur_grain1mica10,51
dur_grain1mica11,63
dur_grain1mica12,46
dur_grain1mica13,51
dur_grain1mica14,69
dur_grain1mica15,58
dur_grain1mica16,60
dur_grain1mica17,58
dur_grain1apatite01,113
dur_grain1apatite02,111
dur_grain1apatite03,104
dur_grain1apatite04,90
dur_grain1apatite05,79
dur_grain1apatite06,107
dur_grain1apatite07,98
dur_grain1apatite08,104
dur_grain1apatite09,111
dur_grain1apatite10,96
dur_grain2mica01,73
dur_grain2mica02,66
dur_grain2mica03,63
dur_grain2mica04,50
dur_grain2mica05,55
dur_grain2mica06,60
dur_grain2mica07,56
dur_grain2mica08,40
dur_grain2mica09,60
dur_grain2mica10,69
dur_grain2mica11,52
dur_grain2mica12,59
dur_grain2mica13,74
dur_grain2mica14,51
dur_grain2mica15,48
dur_grain2mica16,61
dur_grain2apatite01,80
dur_grain2apatite02,125
dur_grain2apatite03,104
dur_grain2apatite04,110
dur_grain2apatite05,84
dur_grain2apatite06,112
dur_grain2apatite07,92
dur_grain2apatite08,106
dur_grain2apatite09,103
dur_grain2apatite10,122
dur_grain3mica01,56
dur_grain3mica02,47
dur_grain3mica03,72
dur_grain3mica04,60
dur_grain3mica05,54
dur_grain3mica06,54
dur_grain3mica07,57
dur_grain3mica08,59
dur_grain3mica09,68
dur_grain3mica10,64
dur_grain3mica11,48
dur_grain3mica12,45
dur_grain3mica13,50
dur_grain3mica14,66
dur_grain3mica15,63
dur_grain3mica16,64
dur_grain3apatite01,106
dur_grain3apatite02,92
dur_grain3apatite03,97
dur_grain3apatite04,102
dur_grain3apatite05,117
dur_grain3apatite06,98
dur_grain3apatite07,101
dur_grain3apatite08,117
dur_grain3apatite09,105
dur_grain3apatite10,128
