image,initial_radius,delta_radius,auto_withborder,auto_noborder
1,5,2,121,99
1,5,4,103,86
1,5,6,99,84
1,5,8,97,81
1,5,10,99,83
1,5,12,95,81
1,5,14,96,82
1,5,16,90,76
1,5,18,89,75
1,5,20,89,75
1,10,2,84,69
1,10,4,80,67
1,10,6,76,63
1,10,8,79,66
1,10,10,76,63
1,10,12,75,62
1,10,14,78,65
1,10,16,75,62
1,10,18,74,61
1,10,20,74,61
1,15,2,65,57
1,15,4,63,55
1,15,6,60,52
1,15,8,60,52
1,15,10,61,53
1,15,12,60,52
1,15,14,60,52
1,15,16,60,52
1,15,18,60,52
1,15,20,60,52
1,20,2,43,39
1,20,4,43,39
1,20,6,41,37
1,20,8,40,36
1,20,10,40,36
1,20,12,40,36
1,20,14,40,36
1,20,16,40,36
1,20,18,40,36
1,20,20,40,36
1,25,2,19,18
1,25,4,19,18
1,25,6,19,18
1,25,8,19,18
1,25,10,19,18
1,25,12,19,18
1,25,14,19,18
1,25,16,19,18
1,25,18,19,18
1,25,20,19,18
1,30,2,0,0
1,30,4,0,0
1,30,6,0,0
1,30,8,0,0
1,30,10,0,0
1,30,12,0,0
1,30,14,0,0
1,30,16,0,0
1,30,18,0,0
1,30,20,0,0
1,35,2,0,0
1,35,4,0,0
1,35,6,0,0
1,35,8,0,0
1,35,10,0,0
1,35,12,0,0
1,35,14,0,0
1,35,16,0,0
1,35,18,0,0
1,35,20,0,0
1,40,2,0,0
1,40,4,0,0
1,40,6,0,0
1,40,8,0,0
1,40,10,0,0
1,40,12,0,0
1,40,14,0,0
1,40,16,0,0
1,40,18,0,0
1,40,20,0,0
2,5,2,91,70
2,5,4,83,64
2,5,6,80,62
2,5,8,80,61
2,5,10,79,62
2,5,12,76,60
2,5,14,77,61
2,5,16,75,59
2,5,18,74,58
2,5,20,74,58
2,10,2,87,71
2,10,4,80,65
2,10,6,79,64
2,10,8,79,64
2,10,10,75,60
2,10,12,75,60
2,10,14,75,60
2,10,16,78,63
2,10,18,78,63
2,10,20,75,60
2,15,2,67,56
2,15,4,66,55
2,15,6,67,56
2,15,8,64,53
2,15,10,64,53
2,15,12,66,55
2,15,14,64,53
2,15,16,64,53
2,15,18,65,54
2,15,20,64,53
2,20,2,53,46
2,20,4,50,43
2,20,6,50,43
2,20,8,50,43
2,20,10,47,40
2,20,12,47,40
2,20,14,47,40
2,20,16,47,40
2,20,18,47,40
2,20,20,47,40
2,25,2,31,31
2,25,4,29,29
2,25,6,28,28
2,25,8,29,29
2,25,10,28,28
2,25,12,28,28
2,25,14,28,28
2,25,16,28,28
2,25,18,28,28
2,25,20,28,28
2,30,2,2,2
2,30,4,2,2
2,30,6,2,2
2,30,8,2,2
2,30,10,2,2
2,30,12,2,2
2,30,14,2,2
2,30,16,2,2
2,30,18,2,2
2,30,20,2,2
2,35,2,0,0
2,35,4,0,0
2,35,6,0,0
2,35,8,0,0
2,35,10,0,0
2,35,12,0,0
2,35,14,0,0
2,35,16,0,0
2,35,18,0,0
2,35,20,0,0
2,40,2,0,0
2,40,4,0,0
2,40,6,0,0
2,40,8,0,0
2,40,10,0,0
2,40,12,0,0
2,40,14,0,0
2,40,16,0,0
2,40,18,0,0
2,40,20,0,0
3,5,2,118,96
3,5,4,103,85
3,5,6,96,76
3,5,8,82,65
3,5,10,89,74
3,5,12,81,67
3,5,14,75,62
3,5,16,75,62
3,5,18,78,65
3,5,20,82,69
3,10,2,93,77
3,10,4,86,71
3,10,6,84,70
3,10,8,75,61
3,10,10,70,57
3,10,12,75,62
3,10,14,73,60
3,10,16,72,59
3,10,18,69,56
3,10,20,66,53
3,15,2,93,81
3,15,4,78,66
3,15,6,70,58
3,15,8,72,60
3,15,10,77,65
3,15,12,68,56
3,15,14,66,54
3,15,16,65,53
3,15,18,65,53
3,15,20,65,53
3,20,2,69,60
3,20,4,60,51
3,20,6,56,48
3,20,8,55,47
3,20,10,53,45
3,20,12,53,45
3,20,14,53,45
3,20,16,53,45
3,20,18,53,45
3,20,20,53,45
3,25,2,50,46
3,25,4,48,44
3,25,6,47,43
3,25,8,47,43
3,25,10,47,43
3,25,12,47,43
3,25,14,47,43
3,25,16,47,43
3,25,18,47,43
3,25,20,47,43
3,30,2,6,6
3,30,4,6,6
3,30,6,6,6
3,30,8,6,6
3,30,10,6,6
3,30,12,6,6
3,30,14,6,6
3,30,16,6,6
3,30,18,6,6
3,30,20,6,6
3,35,2,0,0
3,35,4,0,0
3,35,6,0,0
3,35,8,0,0
3,35,10,0,0
3,35,12,0,0
3,35,14,0,0
3,35,16,0,0
3,35,18,0,0
3,35,20,0,0
3,40,2,0,0
3,40,4,0,0
3,40,6,0,0
3,40,8,0,0
3,40,10,0,0
3,40,12,0,0
3,40,14,0,0
3,40,16,0,0
3,40,18,0,0
3,40,20,0,0
4,5,2,113,102
4,5,4,104,94
4,5,6,97,87
4,5,8,99,89
4,5,10,96,85
4,5,12,93,83
4,5,14,93,84
4,5,16,91,82
4,5,18,89,80
4,5,20,87,78
4,10,2,94,89
4,10,4,89,84
4,10,6,80,75
4,10,8,83,78
4,10,10,81,76
4,10,12,78,73
4,10,14,77,72
4,10,16,79,73
4,10,18,76,70
4,10,20,76,70
4,15,2,84,78
4,15,4,82,76
4,15,6,80,74
4,15,8,77,71
4,15,10,77,71
4,15,12,77,71
4,15,14,76,70
4,15,16,76,70
4,15,18,76,70
4,15,20,76,70
4,20,2,55,51
4,20,4,52,48
4,20,6,54,50
4,20,8,51,47
4,20,10,51,47
4,20,12,51,47
4,20,14,51,47
4,20,16,51,47
4,20,18,51,47
4,20,20,51,47
4,25,2,24,23
4,25,4,23,22
4,25,6,23,22
4,25,8,23,22
4,25,10,23,22
4,25,12,23,22
4,25,14,23,22
4,25,16,23,22
4,25,18,23,22
4,25,20,23,22
4,30,2,1,1
4,30,4,1,1
4,30,6,1,1
4,30,8,1,1
4,30,10,1,1
4,30,12,1,1
4,30,14,1,1
4,30,16,1,1
4,30,18,1,1
4,30,20,1,1
4,35,2,0,0
4,35,4,0,0
4,35,6,0,0
4,35,8,0,0
4,35,10,0,0
4,35,12,0,0
4,35,14,0,0
4,35,16,0,0
4,35,18,0,0
4,35,20,0,0
4,40,2,0,0
4,40,4,0,0
4,40,6,0,0
4,40,8,0,0
