folder,image,object,minor_axis,major_axis,mean_gray
K0_incid,1,3,71.6329243182,73.59851665332118,82.4995159729
K0_incid,1,5,70.70275190515599,73.23707194381345,81.3431106729
K0_incid,1,6,71.73096785689495,72.94531320401099,82.1406668289
K0_incid,1,8,71.33744983196998,72.5308121892847,78.4868323899
K0_incid,1,9,71.13513023939431,72.96817971385427,80.9622178606
K0_incid,1,10,71.37602038845642,72.78916669987582,79.7799019608
K0_incid,1,11,71.9092135165568,73.01664007043499,79.7429056512
K0_incid,1,12,70.5356577022996,72.18309123161615,77.636068034
K0_incid,1,14,71.9963809203031,73.59762746904251,77.627493391
K0_incid,1,17,70.86368803826814,73.09842482352445,77.4397738446
K0_incid,2,7,72.01048916771629,72.83663016440742,76.8116047584
K0_incid,2,9,70.04806684089661,71.55408985625962,75.3003811944
K0_incid,2,10,71.38954726870999,73.16505827776867,77.4298951475
K0_incid,2,11,70.81716348028996,72.20032475286635,75.7344956413
K0_incid,2,12,72.32549268162799,73.0642261381433,77.9990361446
K0_incid,2,13,71.73488183070737,72.56806072552415,77.5070939335
K0_incid,2,15,72.83434200302956,73.39861336686883,77.4873749404
K0_incid,2,16,71.42689017928934,72.77655958476191,77.627633513
K0_incid,2,17,72.49774542559966,72.93058811070821,77.6522157996
K0_incid,2,18,72.01854707096085,74.14316985097824,77.612264376
K0_incid,2,19,70.87856171147965,73.12514727307828,78.4837837838
K0_incid,2,22,0.0,0.0,130.0
K0_incid,2,23,0.0,0.0,147.0
K0_incid,3,3,71.1115671400978,73.11699731318404,77.2282635317
K0_incid,3,4,71.27851012185413,73.72174084532989,77.1580480699
K0_incid,3,5,70.24985552504997,73.55770729944116,75.3940364712
K0_incid,3,7,71.8330990198252,72.27317378199336,78.8950208487
K0_incid,3,12,71.90698691727906,73.28437275740268,80.5505074915
K0_incid,3,14,71.33863481085591,72.98666203414798,80.1257338552
K0_incid,3,16,72.63252440017301,73.21534829518804,81.8965517241
K0_incid,4,1,73.03026285389318,73.75546076471541,76.819858156
K0_incid,4,3,71.79260874805962,72.33323177848744,78.065228053
K0_incid,4,4,71.91537512669846,72.7808359210331,77.695620438
K0_incid,4,6,70.94603182783723,72.32989699823028,76.829528536
K0_incid,4,7,71.92525981089268,72.3768965542649,76.803816047
K0_incid,4,8,71.50213068452346,71.64289861329239,76.0658876181
K0_incid,4,9,70.95941838591342,73.34291037458813,75.5939260348
K0_incid,4,10,71.14481381456089,72.81242865341764,75.1826450344
K0_incid,4,13,70.92120222849077,73.233340683603,75.4361363079
K0_incid,4,14,70.65989733712425,72.68587796798256,75.5628564344
K0_incid,4,15,72.62755609865414,72.96169475885715,75.2453737082
K0_incid,4,17,71.52921723017168,74.36106107935888,73.363440345
K0_incid,4,19,0.0,0.0,128.0
K0_incid,5,2,70.6666348066686,71.75205362375344,77.5359116022
K0_incid,5,8,71.35080751298027,72.58510384769825,76.784607819
K0_incid,5,9,70.75316272157475,72.60688332955777,76.1179970253
K0_incid,5,10,70.6608406760643,72.16535164724364,76.1676661669
K0_incid,5,12,72.31237370647553,72.85537126642762,75.8547256466
K0_incid,5,13,71.69337597016285,73.34120851569676,76.3126665052
K0_incid,5,14,72.11542131658935,72.27216592049012,76.1724896164
K0_incid,5,15,72.69820352736433,73.14875456053504,76.5985628743
K0_incid,5,16,70.9271345651723,72.09143790826208,75.6874221669
K0_incid,6,2,72.17964724166008,72.90116119161902,71.2463697967
K0_incid,6,4,73.10881942977606,74.29633439798795,71.7202813599
K0_incid,6,6,72.2908826455547,72.63284572009547,70.9529468833
K0_incid,6,7,72.0963380795772,72.94423019431872,71.0598207798
K0_incid,6,8,71.85720917095367,73.08493633396385,70.7048981571
K0_incid,6,10,72.35762176948589,73.24453091204292,71.8555635665
K0_incid,6,12,71.54841383504818,73.06137893568415,73.4280146163
K0_incid,6,14,0.0,0.0,104.0
K0_incid,6,16,72.85629620712598,74.38900215478107,77.4257518797
K0_incid,6,17,71.05080408065979,72.8956949630432,71.382454411
K0_incid,6,18,70.07221541482186,72.5178267483385,70.5106542993
K0_incid,6,19,70.7443139890887,72.84367091803487,72.3833415719
K0_incid,7,3,69.63833324241926,72.6262845801765,76.1394763343
K0_incid,7,4,71.57961472215246,72.61679522165669,75.0529152376
K0_incid,7,6,71.38463924647603,72.50383398040621,77.0174704724
K0_incid,7,7,72.04117457891769,73.05444008940458,73.7433414044
K0_incid,7,8,71.813607641053,73.29496050730077,75.135010888
K0_incid,7,9,71.95270689459433,72.22340773771538,74.6716491056
K0_incid,7,10,70.95814548370907,72.03741740222705,75.305333998
K0_incid,7,15,71.96471703622007,72.75092250256877,73.7159892918
K0_incid,7,19,71.7294788760544,72.52764045193128,73.4408812729
K0_incid,7,20,72.2954927961811,73.16062900291006,74.7900313027
K0_incid,7,23,71.98116358633148,73.39451174474777,75.856316297
K0_incid,8,2,71.70694358671477,73.53357806068946,77.3001690413
K0_incid,8,3,71.93992058954858,72.68566306006193,79.4498050682
K0_incid,8,4,69.78615969953228,72.72495999052583,79.3162285137
K0_incid,8,6,71.89922833846272,73.14855062111357,76.4593220339
K0_incid,8,8,72.42996846654253,72.90682674541006,78.481794068
K0_incid,8,9,71.07741792858107,72.96718084608324,76.7446599558
K0_incid,8,12,70.9900346973537,71.92707227533799,77.7493765586
K0_incid,8,13,70.82162348854955,72.24653109923825,77.731209557
K0_incid,8,14,71.38057795738176,72.2542983173155,77.304691358
K0_incid,8,15,70.996060494066,72.46918327405258,77.6393564356
K0_incid,8,16,69.89599843788454,72.9723663209893,75.3630461923
K0_incid,8,17,71.42976671011036,72.87797302325995,76.0259295499
K0_incid,8,19,73.02782637605817,73.72444864239992,75.7064806055
K0_incid,9,3,72.03607221992077,73.0801210104696,77.1504960077
K0_incid,9,4,72.46589688159878,72.63153098099606,77.063634164
K0_incid,9,5,71.97084885935716,72.44754553617976,77.2966764418
K0_incid,9,6,0.0,0.0,136.0
