image,seed,auto_count
384,1,452
384,2,326
384,3,242
384,4,205
384,5,184
384,6,165
384,7,153
384,8,137
384,9,127
384,10,117
384,11,110
384,12,103
384,13,100
384,14,95
384,15,92
384,16,89
384,17,87
384,18,87
384,19,83
384,20,81
384,21,80
384,22,79
384,23,79
384,24,77
384,25,77
384,26,76
384,27,77
384,28,77
384,29,76
384,30,76
384,31,75
384,32,75
384,33,75
384,34,74
384,35,74
384,36,73
384,37,73
384,38,73
384,39,73
384,40,73
384,41,73
384,42,73
384,43,73
384,44,72
384,45,72
384,46,72
384,47,72
384,48,72
384,49,72
384,50,72
384,51,72
384,52,72
384,53,71
384,54,71
384,55,70
384,56,70
384,57,70
384,58,70
384,59,70
384,60,70
385,1,459
385,2,339
385,3,254
385,4,216
385,5,194
385,6,173
385,7,156
385,8,146
385,9,138
385,10,127
385,11,122
385,12,119
385,13,113
385,14,109
385,15,103
385,16,100
385,17,97
385,18,95
385,19,93
385,20,93
385,21,89
385,22,84
385,23,83
385,24,82
385,25,79
385,26,78
385,27,77
385,28,76
385,29,76
385,30,75
385,31,75
385,32,74
385,33,72
385,34,72
385,35,72
385,36,70
385,37,70
385,38,70
385,39,70
385,40,70
385,41,69
385,42,69
385,43,68
385,44,68
385,45,68
385,46,68
385,47,68
385,48,67
385,49,66
385,50,65
385,51,65
385,52,65
385,53,65
385,54,65
385,55,65
385,56,65
385,57,65
385,58,65
385,59,64
385,60,63
386,1,446
386,2,308
386,3,216
386,4,155
386,5,130
386,6,114
386,7,107
386,8,102
386,9,96
386,10,91
386,11,91
386,12,89
386,13,86
386,14,81
386,15,80
386,16,79
386,17,79
386,18,78
386,19,78
386,20,78
386,21,78
386,22,76
386,23,76
386,24,74
386,25,73
386,26,73
386,27,72
386,28,71
386,29,71
386,30,71
386,31,71
386,32,71
386,33,71
386,34,70
386,35,70
386,36,70
386,37,68
386,38,68
386,39,68
386,40,68
386,41,67
386,42,67
386,43,67
386,44,67
386,45,66
386,46,66
386,47,66
386,48,66
386,49,66
386,50,66
386,51,66
386,52,65
386,53,65
386,54,65
386,55,64
386,56,63
386,57,63
386,58,63
386,59,63
386,60,63
387,1,431
387,2,279
387,3,186
387,4,148
387,5,126
387,6,112
387,7,104
387,8,102
387,9,99
387,10,97
387,11,94
387,12,92
387,13,89
387,14,87
387,15,87
387,16,87
387,17,85
387,18,82
387,19,81
387,20,79
387,21,79
387,22,79
387,23,79
387,24,79
387,25,78
387,26,76
387,27,75
387,28,75
387,29,74
387,30,74
387,31,73
387,32,73
387,33,73
387,34,72
387,35,71
387,36,71
387,37,69
387,38,69
387,39,69
387,40,69
387,41,69
387,42,69
387,43,68
387,44,68
387,45,67
387,46,67
387,47,67
387,48,67
387,49,67
387,50,67
387,51,67
387,52,67
387,53,66
387,54,66
387,55,66
387,56,66
387,57,65
387,58,65
387,59,64
387,60,64
388,1,540
388,2,386
388,3,294
388,4,241
388,5,212
388,6,192
388,7,175
388,8,164
388,9,152
388,10,143
388,11,133
388,12,128
388,13,123
388,14,119
388,15,115
388,16,109
388,17,106
388,18,104
388,19,99
388,20,96
388,21,96
388,22,94
388,23,93
388,24,93
388,25,93
388,26,91
388,27,90
388,28,89
388,29,88
388,30,87
388,31,85
388,32,84
388,33,84
388,34,83
388,35,83
388,36,82
388,37,82
388,38,82
388,39,81
388,40,81
388,41,79
388,42,79
388,43,79
388,44,79
388,45,79
388,46,79
388,47,78
388,48,78
388,49,78
388,50,78
388,51,77
388,52,76
388,53,76
388,54,76
388,55,75
388,56,75
388,57,75
388,58,75
388,59,75
388,60,75
389,1,439
389,2,307
389,3,232
389,4,182
389,5,158
389,6,139
389,7,130
389,8,122
389,9,119
389,10,113
389,11,106
389,12,100
389,13,95
389,14,91
389,15,85
389,16,82
389,17,81
389,18,79
389,19,77
389,20,75
389,21,74
389,22,73
389,23,72
389,24,72
389,25,72
389,26,72
389,27,70
