folder,image,auto_count
K0_incid,1,23
K0_incid,2,22
K0_incid,3,24
K0_incid,4,17
K0_incid,5,29
K0_incid,6,19
K0_incid,7,20
K0_incid,8,19
K0_incid,9,23
K0_incid,10,24
K0_incid,11,17
K0_incid,12,20
K0_incid,13,19
K0_incid,14,16
K0_incid,15,19
K0_incid,16,21
K0_incid,17,22
K0_incid,18,19
K0_incid,19,25
K0_incid,20,17
K20_incid,1,14
K20_incid,2,20
K20_incid,3,25
K20_incid,4,25
K20_incid,5,23
K20_incid,6,21
K20_incid,7,31
K20_incid,8,18
K20_incid,9,26
K20_incid,10,25
K20_incid,11,25
K20_incid,12,25
K20_incid,13,21
K20_incid,14,22
K20_incid,15,25
K20_incid,16,21
K20_incid,17,24
K20_incid,18,17
K20_incid,19,27
K20_incid,20,30
K30_incid,1,21
K30_incid,2,23
K30_incid,3,20
K30_incid,4,21
K30_incid,5,19
K30_incid,6,19
K30_incid,7,27
K30_incid,8,22
K30_incid,9,26
K30_incid,10,21
K30_incid,11,22
K30_incid,12,24
K30_incid,13,31
K30_incid,14,22
K30_incid,15,19
K30_incid,16,16
K30_incid,17,21
K30_incid,18,18
K30_incid,19,26
K30_incid,20,19
K40_incid,1,21
K40_incid,2,21
K40_incid,3,23
K40_incid,4,19
K40_incid,5,21
K40_incid,6,28
K40_incid,7,22
K40_incid,8,23
K40_incid,9,19
K40_incid,10,18
K40_incid,11,24
K40_incid,12,27
K40_incid,13,18
K40_incid,14,16
K40_incid,15,23
K40_incid,16,23
K40_incid,17,15
K40_incid,18,23
K40_incid,19,25
K40_incid,20,21
K50_incid,1,25
K50_incid,2,25
K50_incid,3,24
K50_incid,4,24
K50_incid,5,25
K50_incid,6,19
K50_incid,7,19
K50_incid,8,26
K50_incid,9,25
K50_incid,10,20
K50_incid,11,21
K50_incid,12,21
K50_incid,13,25
K50_incid,14,24
K50_incid,15,24
K50_incid,16,23
K50_incid,17,24
K50_incid,18,22
K50_incid,19,20
K50_incid,20,22
K60_incid,1,25
K60_incid,2,31
K60_incid,3,26
K60_incid,4,22
K60_incid,5,25
K60_incid,6,20
K60_incid,7,24
K60_incid,8,23
K60_incid,9,25
K60_incid,10,21
K60_incid,11,20
K60_incid,12,28
K60_incid,13,23
K60_incid,14,26
K60_incid,15,24
K60_incid,16,25
K60_incid,17,19
K60_incid,18,23
K60_incid,19,21
K60_incid,20,28
K70_incid,1,19
K70_incid,2,16
K70_incid,3,17
K70_incid,4,25
K70_incid,5,21
K70_incid,6,25
K70_incid,7,21
K70_incid,8,25
K70_incid,9,19
K70_incid,10,27
K70_incid,11,21
K70_incid,12,15
K70_incid,13,18
K70_incid,14,17
K70_incid,15,12
K70_incid,16,21
K70_incid,17,15
K70_incid,18,20
K70_incid,19,19
K70_incid,20,18
K80_incid,1,10
K80_incid,2,15
K80_incid,3,21
K80_incid,4,19
K80_incid,5,15
K80_incid,6,23
K80_incid,7,19
K80_incid,8,22
K80_incid,9,19
K80_incid,10,22
K80_incid,11,24
K80_incid,12,19
K80_incid,13,20
K80_incid,14,20
K80_incid,15,15
K80_incid,16,23
K80_incid,17,19
K80_incid,18,21
K80_incid,19,17
K80_incid,20,18
K90_incid,1,20
K90_incid,2,18
K90_incid,3,21
K90_incid,4,22
K90_incid,5,23
K90_incid,6,26
K90_incid,7,19
K90_incid,8,31
K90_incid,9,20
K90_incid,10,31
K90_incid,11,27
K90_incid,12,26
K90_incid,13,18
K90_incid,14,17
K90_incid,15,27
K90_incid,16,25
K90_incid,17,23
K90_incid,18,24
K90_incid,19,19
K90_incid,20,23
K90_incid,21,25
K90_incid,22,29
