folder,image,initial_radius,delta_radius,auto_count
K0_incid,1,5,2,21
K0_incid,1,5,4,19
K0_incid,1,5,6,21
K0_incid,1,5,8,18
K0_incid,1,5,10,21
K0_incid,1,5,12,19
K0_incid,1,5,14,18
K0_incid,1,5,16,18
K0_incid,1,5,18,18
K0_incid,1,5,20,18
K0_incid,1,10,2,20
K0_incid,1,10,4,18
K0_incid,1,10,6,19
K0_incid,1,10,8,18
K0_incid,1,10,10,18
K0_incid,1,10,12,18
K0_incid,1,10,14,18
K0_incid,1,10,16,18
K0_incid,1,10,18,18
K0_incid,1,10,20,18
K0_incid,1,15,2,20
K0_incid,1,15,4,20
K0_incid,1,15,6,18
K0_incid,1,15,8,18
K0_incid,1,15,10,20
K0_incid,1,15,12,18
K0_incid,1,15,14,18
K0_incid,1,15,16,18
K0_incid,1,15,18,18
K0_incid,1,15,20,19
K0_incid,1,20,2,17
K0_incid,1,20,4,17
K0_incid,1,20,6,16
K0_incid,1,20,8,17
K0_incid,1,20,10,16
K0_incid,1,20,12,16
K0_incid,1,20,14,16
K0_incid,1,20,16,17
K0_incid,1,20,18,16
K0_incid,1,20,20,16
K0_incid,1,25,2,17
K0_incid,1,25,4,15
K0_incid,1,25,6,15
K0_incid,1,25,8,15
K0_incid,1,25,10,17
K0_incid,1,25,12,15
K0_incid,1,25,14,15
K0_incid,1,25,16,15
K0_incid,1,25,18,15
K0_incid,1,25,20,15
K0_incid,1,30,2,16
K0_incid,1,30,4,15
K0_incid,1,30,6,16
K0_incid,1,30,8,15
K0_incid,1,30,10,15
K0_incid,1,30,12,15
K0_incid,1,30,14,15
K0_incid,1,30,16,15
K0_incid,1,30,18,15
K0_incid,1,30,20,15
K0_incid,1,35,2,12
K0_incid,1,35,4,12
K0_incid,1,35,6,12
K0_incid,1,35,8,12
K0_incid,1,35,10,12
K0_incid,1,35,12,12
K0_incid,1,35,14,12
K0_incid,1,35,16,12
K0_incid,1,35,18,12
K0_incid,1,35,20,12
K0_incid,1,40,2,0
K0_incid,1,40,4,0
K0_incid,1,40,6,0
K0_incid,1,40,8,0
K0_incid,1,40,10,0
K0_incid,1,40,12,0
K0_incid,1,40,14,0
K0_incid,1,40,16,0
K0_incid,1,40,18,0
K0_incid,1,40,20,0
K0_incid,2,5,2,25
K0_incid,2,5,4,25
K0_incid,2,5,6,25
K0_incid,2,5,8,24
K0_incid,2,5,10,25
K0_incid,2,5,12,24
K0_incid,2,5,14,23
K0_incid,2,5,16,22
K0_incid,2,5,18,23
K0_incid,2,5,20,23
K0_incid,2,10,2,25
K0_incid,2,10,4,23
K0_incid,2,10,6,24
K0_incid,2,10,8,23
K0_incid,2,10,10,22
K0_incid,2,10,12,22
K0_incid,2,10,14,22
K0_incid,2,10,16,22
K0_incid,2,10,18,22
K0_incid,2,10,20,22
K0_incid,2,15,2,21
K0_incid,2,15,4,21
K0_incid,2,15,6,21
K0_incid,2,15,8,21
K0_incid,2,15,10,21
K0_incid,2,15,12,21
K0_incid,2,15,14,21
K0_incid,2,15,16,21
K0_incid,2,15,18,21
K0_incid,2,15,20,21
K0_incid,2,20,2,19
K0_incid,2,20,4,19
K0_incid,2,20,6,18
K0_incid,2,20,8,19
K0_incid,2,20,10,18
K0_incid,2,20,12,18
K0_incid,2,20,14,18
K0_incid,2,20,16,18
K0_incid,2,20,18,17
K0_incid,2,20,20,17
K0_incid,2,25,2,17
K0_incid,2,25,4,17
K0_incid,2,25,6,17
K0_incid,2,25,8,17
K0_incid,2,25,10,17
K0_incid,2,25,12,17
K0_incid,2,25,14,17
K0_incid,2,25,16,17
