image,initial_radius,delta_radius,auto_count
1,5,2,103
1,5,4,97
1,5,6,90
1,5,8,90
1,5,10,91
1,5,12,87
1,5,14,85
1,5,16,84
1,5,18,82
1,5,20,82
1,10,2,91
1,10,4,87
1,10,6,80
1,10,8,83
1,10,10,78
1,10,12,78
1,10,14,78
1,10,16,79
1,10,18,77
1,10,20,77
1,15,2,70
1,15,4,67
1,15,6,69
1,15,8,68
1,15,10,68
1,15,12,67
1,15,14,67
1,15,16,67
1,15,18,67
1,15,20,67
1,20,2,51
1,20,4,49
1,20,6,50
1,20,8,48
1,20,10,48
1,20,12,48
1,20,14,48
1,20,16,48
1,20,18,48
1,20,20,48
1,25,2,24
1,25,4,24
1,25,6,24
1,25,8,24
1,25,10,24
1,25,12,24
1,25,14,24
1,25,16,24
1,25,18,24
1,25,20,24
1,30,2,3
1,30,4,3
1,30,6,3
1,30,8,3
1,30,10,3
1,30,12,3
1,30,14,3
1,30,16,3
1,30,18,3
1,30,20,3
1,35,2,0
1,35,4,0
1,35,6,0
1,35,8,0
1,35,10,0
1,35,12,0
1,35,14,0
1,35,16,0
1,35,18,0
1,35,20,0
1,40,2,0
1,40,4,0
1,40,6,0
1,40,8,0
1,40,10,0
1,40,12,0
1,40,14,0
1,40,16,0
1,40,18,0
1,40,20,0
2,5,2,115
2,5,4,98
2,5,6,94
2,5,8,92
2,5,10,94
2,5,12,90
2,5,14,91
2,5,16,85
2,5,18,84
2,5,20,84
2,10,2,81
2,10,4,78
2,10,6,74
2,10,8,77
2,10,10,74
2,10,12,73
2,10,14,76
2,10,16,73
2,10,18,72
2,10,20,72
2,15,2,65
2,15,4,63
2,15,6,60
2,15,8,60
2,15,10,61
2,15,12,60
2,15,14,60
2,15,16,60
2,15,18,60
2,15,20,60
2,20,2,43
2,20,4,43
2,20,6,41
2,20,8,40
2,20,10,40
2,20,12,40
2,20,14,40
2,20,16,40
2,20,18,40
2,20,20,40
2,25,2,19
2,25,4,19
2,25,6,19
2,25,8,19
2,25,10,19
2,25,12,19
2,25,14,19
2,25,16,19
2,25,18,19
2,25,20,19
2,30,2,0
2,30,4,0
2,30,6,0
2,30,8,0
2,30,10,0
2,30,12,0
2,30,14,0
2,30,16,0
2,30,18,0
2,30,20,0
2,35,2,0
2,35,4,0
2,35,6,0
2,35,8,0
2,35,10,0
2,35,12,0
2,35,14,0
2,35,16,0
2,35,18,0
2,35,20,0
2,40,2,0
2,40,4,0
2,40,6,0
2,40,8,0
2,40,10,0
2,40,12,0
2,40,14,0
2,40,16,0
2,40,18,0
2,40,20,0
3,5,2,90
3,5,4,83
3,5,6,80
3,5,8,80
3,5,10,79
3,5,12,76
3,5,14,77
3,5,16,75
3,5,18,74
3,5,20,74
3,10,2,87
3,10,4,80
3,10,6,79
3,10,8,79
3,10,10,75
3,10,12,75
3,10,14,75
3,10,16,78
3,10,18,78
3,10,20,75
3,15,2,67
3,15,4,66
3,15,6,67
3,15,8,64
3,15,10,64
3,15,12,66
3,15,14,64
3,15,16,64
3,15,18,65
3,15,20,64
3,20,2,53
3,20,4,50
3,20,6,50
3,20,8,50
3,20,10,47
3,20,12,47
3,20,14,47
3,20,16,47
3,20,18,47
3,20,20,47
3,25,2,31
3,25,4,29
3,25,6,28
3,25,8,29
3,25,10,28
3,25,12,28
3,25,14,28
3,25,16,28
3,25,18,28
3,25,20,28
3,30,2,2
3,30,4,2
3,30,6,2
3,30,8,2
3,30,10,2
3,30,12,2
3,30,14,2
3,30,16,2
3,30,18,2
3,30,20,2
3,35,2,0
3,35,4,0
3,35,6,0
3,35,8,0
3,35,10,0
3,35,12,0
3,35,14,0
3,35,16,0
3,35,18,0
3,35,20,0
3,40,2,0
3,40,4,0
3,40,6,0
3,40,8,0
3,40,10,0
3,40,12,0
3,40,14,0
3,40,16,0
3,40,18,0
3,40,20,0
4,5,2,101
4,5,4,97
4,5,6,91
4,5,8,81
4,5,10,88
4,5,12,79
4,5,14,74
4,5,16,74
4,5,18,77
4,5,20,81
4,10,2,86
4,10,4,83
4,10,6,81
4,10,8,75
4,10,10,70
4,10,12,75
4,10,14,73
4,10,16,72
4,10,18,69
4,10,20,66
4,15,2,83
4,15,4,73
4,15,6,70
4,15,8,72
4,15,10,77
4,15,12,68
4,15,14,66
4,15,16,65
4,15,18,65
4,15,20,65
4,20,2,63
4,20,4,58
4,20,6,56
4,20,8,55
4,20,10,53
4,20,12,53
4,20,14,53
4,20,16,53
4,20,18,53
4,20,20,53
4,25,2,49
4,25,4,48
4,25,6,47
4,25,8,47
4,25,10,47
4,25,12,47
4,25,14,47
4,25,16,47
4,25,18,47
4,25,20,47
4,30,2,6
4,30,4,6
4,30,6,6
4,30,8,6
4,30,10,6
4,30,12,6
4,30,14,6
4,30,16,6
4,30,18,6
4,30,20,6
4,35,2,0
4,35,4,0
4,35,6,0
4,35,8,0
4,35,10,0
4,35,12,0
4,35,14,0
4,35,16,0
4,35,18,0
4,35,20,0
4,40,2,0
4,40,4,0
4,40,6,0
4,40,8,0
4,40,10,0
4,40,12,0
4,40,14,0
4,40,16,0
4,40,18,0
4,40,20,0
5,5,2,109
5,5,4,100
5,5,6,94
5,5,8,96
5,5,10,93
5,5,12,90
5,5,14,90
5,5,16,88
5,5,18,86
5,5,20,84
5,10,2,91
5,10,4,86
5,10,6,80
5,10,8,83
5,10,10,81
5,10,12,78
5,10,14,77
5,10,16,79
5,10,18,76
5,10,20,76
5,15,2,84
5,15,4,82
5,15,6,80
5,15,8,77
5,15,10,77
5,15,12,77
5,15,14,76
5,15,16,76
5,15,18,76
5,15,20,76
5,20,2,55
5,20,4,52
5,20,6,54
5,20,8,51
5,20,10,51
5,20,12,51
5,20,14,51
5,20,16,51
5,20,18,51
5,20,20,51
5,25,2,24
5,25,4,23
5,25,6,23
5,25,8,23
5,25,10,23
5,25,12,23
5,25,14,23
5,25,16,23
5,25,18,23
5,25,20,23
5,30,2,1
5,30,4,1
5,30,6,1
5,30,8,1
5,30,10,1
5,30,12,1
5,30,14,1
5,30,16,1
5,30,18,1
5,30,20,1
5,35,2,0
5,35,4,0
5,35,6,0
5,35,8,0
5,35,10,0
5,35,12,0
5,35,14,0
5,35,16,0
5,35,18,0
5,35,20,0
5,40,2,0
5,40,4,0
5,40,6,0
5,40,8,0
5,40,10,0
5,40,12,0
5,40,14,0
5,40,16,0
5,40,18,0
5,40,20,0
6,5,2,87
6,5,4,83
6,5,6,80
6,5,8,81
6,5,10,77
6,5,12,78
6,5,14,79
6,5,16,79
6,5,18,78
6,5,20,75
6,10,2,78
6,10,4,75
6,10,6,77
6,10,8,70
6,10,10,70
6,10,12,75
6,10,14,68
6,10,16,68
6,10,18,69
6,10,20,67
6,15,2,70
6,15,4,69
6,15,6,67
6,15,8,65
6,15,10,62
6,15,12,63
6,15,14,61
6,15,16,62
6,15,18,61
6,15,20,61
6,20,2,55
