,folder,image,object,minor_axis,major_axis,mean_gray
0,K0_incid,1,4,61.04080077067059,62.62968763920513,58.7944703531
1,K0_incid,1,5,61.69902955930078,62.20014674373028,59.3269166943
2,K0_incid,1,7,60.17179181651397,63.0499351985141,55.8598854833
3,K0_incid,1,10,60.81807517910632,61.93702671272956,57.4259634888
4,K0_incid,1,14,61.286474463134034,63.90388807153304,57.2444661458
5,K0_incid,1,15,60.898330304047775,63.34212589854826,56.7280237938
6,K0_incid,1,16,63.22346466473582,63.587665651017524,57.833597464300006
7,K0_incid,1,17,62.80948791808963,63.269590581564806,57.363461538500005
8,K0_incid,1,18,62.5993087498205,62.99500676367678,58.090087181099996
9,K0_incid,1,19,61.86978462350167,62.59428543289572,57.8993421053
10,K0_incid,1,20,62.7360713682553,63.65123918030721,56.6859056122
11,K0_incid,1,21,62.000195360972455,63.206665152217866,59.5576860578
12,K0_incid,2,3,61.305200916267964,63.267009410706024,56.477019041400006
13,K0_incid,2,4,62.375394307305115,63.694301583212564,57.5689102564
14,K0_incid,2,5,60.62720228063591,63.53782368094581,57.6512396694
15,K0_incid,2,6,62.6684285693099,63.351393941259815,58.5102629891
16,K0_incid,2,7,61.19198302473317,62.86484453317723,57.121151936400004
17,K0_incid,2,8,61.889344686624526,62.68849571137511,57.668526419399996
18,K0_incid,2,9,62.64810949530921,63.92271189031196,58.943203573699996
19,K0_incid,2,10,62.690028121937715,62.874610878292344,58.0297349709
20,K0_incid,2,11,62.76909042862068,63.564336685585744,60.5156449553
21,K0_incid,2,13,62.13149691671472,63.48142424342249,59.2437843074
23,K0_incid,3,2,61.39447464408805,62.55688393558936,56.3915063039
24,K0_incid,3,4,62.26946587900384,63.813776588012075,59.49069916609999
25,K0_incid,3,5,61.284985922773345,62.03243696630993,58.7053302045
26,K0_incid,3,6,62.292465688375884,63.45828839147203,58.897163120600005
27,K0_incid,3,9,63.04052984556846,63.92778765310037,59.060443038
28,K0_incid,3,10,63.8288936559689,63.89769299960038,59.203373945600006
29,K0_incid,3,11,62.51310802469239,63.56998091068375,58.5431781701
30,K0_incid,3,12,62.56493822989649,62.709276993774566,59.7405001624
31,K0_incid,3,13,62.70793337815486,63.76130120617589,60.141491395799996
32,K0_incid,3,14,62.235935926331884,63.83684492893126,59.92687620270001
33,K0_incid,3,16,62.04816494265575,62.684456820870984,60.4606815203
34,K0_incid,3,18,62.1671540432911,63.215846794917496,61.3758106355
35,K0_incid,3,19,62.800823528516005,64.37865171695124,63.4743145288
36,K0_incid,4,2,64.37382456295211,65.58928008434987,56.6790346908
37,K0_incid,4,4,62.99622442768362,64.86056226037812,57.4136533666
38,K0_incid,4,7,61.83303627648107,63.287926776703365,56.366091767
39,K0_incid,4,8,61.77383274780588,64.56097003359002,58.166347381899996
40,K0_incid,4,9,62.622872844696715,64.91431577483456,57.0780075188
41,K0_incid,4,10,62.81092171791491,64.72140344111092,55.272328423699996
42,K0_incid,4,12,62.56447255835915,63.621047018633185,55.845119999999994
43,K0_incid,4,14,62.17033315533842,63.5072455240977,54.185221039
