Id,Label,isseed,seedrank,publishedat,duration,channeltitle,channelid,videocategorylabel,viewcount,likecount,dislikecount,dislikelikeratio,favoritecount,commentcount,componentnumber,hasmisinformation,misinformationcode,brandad
CfhqdizHApM,Tomando vacina febre amarela. Escandalosa??!! Euuuuu??????,no,,1491421826,00:03:14,Isabela Soares,UCrSYAKKH6gYD04KA-0ZkLAQ,Entertainment,11009801,63956,12334,0.192851,0,,0,N,,Gretel and Hansel; Happsy
nT9Z4VsMLTg,Dia de Vacina,no,,1557014405,00:15:05,Tia Dani,UCR2IONXExRWEGxREw7lXHCQ,People & Blogs,6765178,46598,13786,0.29585,0,,0,N,,SparkMotion
vdD8IfWibQ0,TIPOS DE BEBÊS TOMANDO VACINA - VACINEI A DOUTORA,no,,1480161675,00:10:05,Emilly Loise,UCQ1LWE9p0i3HxIpDZjiOKjg,Entertainment,6572438,35507,6274,0.176698,0,,0,N,,1thek; VIDI Toyota; Woolliment
VTG8o6TxOjk,EXPECTATIVA VS REALIDADE TOMANDO VACINA,no,,1510084803,00:07:27,Gustavo TV,UCT0ECF7TihWahDqpU2i9tQA,Entertainment,2583229,31839,3978,0.124941,0,,0,N,,Maxi-Mag Moldova
jvNfyla1wHs,Campanha Nacional de Vacinação contra a Poliomielite e Sarampo (30 ),no,,1533044859,00:00:30,Ministério da Saúde,UC12zKGLhMhDeDidoctM6BrA,Nonprofits & Activism,2079035,75,6,0.08,0,8,0,N,,
ALulSvxSL3o,Campanha de Vacinação contra o Sarampo - 20 a 29 anos,no,,1574086690,00:00:30,Ministério da Saúde,UC12zKGLhMhDeDidoctM6BrA,Nonprofits & Activism,1929773,230,5,0.021739,0,10,0,N,,
dZVPiR8fJB8,VACINA - POLÊMICA DA SEMANA,no,,1541253605,00:04:42,Porta dos Fundos,UCEWHPFNilsT0IfQfutVzsag,Entertainment,1591837,120101,4011,0.033397,0,4482,0,N,,
UM_mnIhHOXs,VACINAS FAZEM MAL? Nostalgia Ciência,yes,16,1545400804,00:12:29,Canal Nostalgia,UCH2VZQBLFTOp6I_qgnBJCuQ,Entertainment,1363152,230561,2996,0.012994,0,7802,0,N,,
zZDkk31QHHg,Tomei vacina 💉 e chorei 😂😂,no,,1487812575,00:06:54,Eu você e nós,UC6nYtmaMh43WUQW5YeopuNg,People & Blogs,634749,25351,1299,0.051241,0,,0,N,,Cheerios; Lífshlaupid
MiIZlSNAu0E,EXISTE PERIGO NA VACINA? | Nerdologia,yes,44,1398951771,00:06:53,Nerdologia,UClu474HMt895mVxZdlIHXEA,Science & Technology,588497,59086,945,0.015994,0,3707,0,N,,
-emUlUIcKZE,ELA TEVE QUE TOMAR TRÊS VACINAS!!!!!,no,,1554833687,00:12:06,Familia Jones,UC3PLVO-mt6ZQLiySKdJedCA,Entertainment,420288,32768,347,0.01059,0,,0,N,,Anuel AA; AUR; ELKO; Krónan;  Mjolkursamsalan; Organifi
