Id,Label,isseed,seedrank,publishedat,duration,channeltitle,channelid,videocategorylabel,viewcount,likecount,dislikecount,dislikelikeratio,favoritecount,commentcount,componentnumber,hasmisinformation,misinformationcode,brandad
vUmhufdMOT0,Vacina contra a febre amarela - Você vai tomar ou não?,,,,00:01:54,Minha Saúde - Curas Naturais ,UCwQhAc44SfDvhdCQiHluBVQ,People & Blogs,3450,212,13,,0,36,0,Y,D,
kwTsEqrps1M,A polêmica das vacinas e o desespero das autoridades.,,,,00:17:24,nutrição Alimentos & Cia,UCQNi2fXhCHRu8-b-w29SMCA,Education,90907,7500,231,,0,897,0,Y,E; G; H; A; O; D; J,
4T3tsb38BR8,"TERAPIAS NATURAIS, Rede Globo ataca prof: Jaime Bruning",,,,00:22:10,nutrição Alimentos & Cia,UCQNi2fXhCHRu8-b-w29SMCA,Education,3451,646,5,,0,92,0,Y,L; N; A; E; O; J,
2a3dO_JRNy0,Vírus mortos e vírus vivos componentes das vacinas.,,,,00:08:00,nutrição Alimentos & Cia,UCQNi2fXhCHRu8-b-w29SMCA,Education,8078,1000,21,,0,58,0,Y,E,
m2nOK13e5aI,"Alimentos, vacinas, GMOs e agenda global",,,,00:13:51,nutrição Alimentos & Cia,UCQNi2fXhCHRu8-b-w29SMCA,Education,1924,288,5,,0,22,0,Y,N; O,
1biiJ8p19bA,SP confirma três mortes por reação à vacina da febre amarela.,,,,00:07:27,nutrição Alimentos & Cia,UCQNi2fXhCHRu8-b-w29SMCA,Education,7786,523,18,,0,108,0,Y,L,
z81P5DUJPwI,Urgente!! NÃO Vacine seu filho (HPV) Cuidado Com a Nova CAMPANHA de Vacinação de 2018,,,,00:01:31,FOGO VIVO de YAUH יהוה,UCIFYUiFUWCQzDc9nc6KY2Ig,People & Blogs,1681,44,26,,0,,0,Y,Q; D,
BCENFIBLOo0,ANTES DE TOMAR A VACINA VEJA O QUE ESSE MÉDICO TEM A DIZER!!!,,,,00:09:29,FOGO VIVO de YAUH יהוה,UCIFYUiFUWCQzDc9nc6KY2Ig,People & Blogs,15673,410,39,,0,129,0,Y,A; Q; N; D,
vAe1mgck4gs,Médico é Ameaçado Pela Rede Globo e é Obrigado a apagar seu Canal do Youtube,,,,00:17:23,FOGO VIVO de YAUH יהוה,UCIFYUiFUWCQzDc9nc6KY2Ig,People & Blogs,541,56,3,,0,18,0,Y,N; L; J; E; D; A,
H3IwhYDqgJE,QUEM PODE TOMAR VACINA CONTRA FEBRE AMARELA?,,,,00:08:46,Dr. Lair Ribeiro Oficial,UCk9mgpQVdJ5oKQWkM1UPBaQ,Entertainment,13343,880,11,,0,48,0,Y,E; L,
